<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AFTR-WS.US,D,20211006,000000,0.7099,0.9,0.7,0.72,15988,0
AFTR-WS.US,D,20211007,000000,0.74,0.807,0.6301,0.6301,161151,0
AFTR-WS.US,D,20211008,000000,0.64,0.7057,0.64,0.7057,3650,0
AFTR-WS.US,D,20211011,000000,0.69,0.6999,0.6714,0.699,5846,0
AFTR-WS.US,D,20211012,000000,0.7,0.7829,0.7,0.759,9428,0
AFTR-WS.US,D,20211013,000000,0.9799,0.9799,0.789501,0.82,14771,0
AFTR-WS.US,D,20211014,000000,0.82,0.82,0.8199,0.82,2754,0
AFTR-WS.US,D,20211015,000000,0.88,0.88,0.87,0.87,783,0
AFTR-WS.US,D,20211018,000000,0.9001,0.9001,0.840499,0.86,3781,0
AFTR-WS.US,D,20211019,000000,0.86,0.86,0.8,0.82,4479,0
AFTR-WS.US,D,20211020,000000,0.87,0.87,0.85,0.85,6500,0
AFTR-WS.US,D,20211021,000000,0.8895,0.96,0.8895,0.914295,1109,0
AFTR-WS.US,D,20211022,000000,1,1,0.9168,0.9168,3231,0
AFTR-WS.US,D,20211025,000000,0.95,0.95,0.87,0.89,18421,0
AFTR-WS.US,D,20211026,000000,0.9968,1,0.8851,0.910049,12158,0
AFTR-WS.US,D,20211027,000000,0.89,0.89,0.89,0.89,400,0
AFTR-WS.US,D,20211028,000000,1,1,0.9,0.9,2551,0
AFTR-WS.US,D,20211029,000000,0.9198,0.9199,0.9198,0.9199,1505,0
AFTR-WS.US,D,20211101,000000,1,1,0.8663,0.8663,6124,0
AFTR-WS.US,D,20211102,000000,0.95,0.95,0.9,0.91,11473,0
AFTR-WS.US,D,20211103,000000,0.91,0.9599,0.91,0.9599,1278,0
AFTR-WS.US,D,20211104,000000,0.95,0.95,0.920101,0.935,1527,0
AFTR-WS.US,D,20211105,000000,0.931,0.931,0.889899,0.889899,9325,0
AFTR-WS.US,D,20211108,000000,0.89,0.92,0.8701,0.9,7100,0
AFTR-WS.US,D,20211109,000000,0.9001,0.9001,0.899601,0.9001,11944,0
AFTR-WS.US,D,20211110,000000,0.955,0.98,0.91,0.9599,3232,0
AFTR-WS.US,D,20211111,000000,1,1,0.8902,0.8905,10365,0
AFTR-WS.US,D,20211112,000000,0.95,0.9916,0.870001,0.870001,14587,0
AFTR-WS.US,D,20211115,000000,0.8902,0.8937,0.890198,0.8902,7982,0
AFTR-WS.US,D,20211116,000000,0.8904,0.8952,0.89,0.89,6030,0
AFTR-WS.US,D,20211117,000000,0.8701,0.8997,0.87,0.88,5258,0
AFTR-WS.US,D,20211118,000000,0.89,0.9399,0.87,0.9399,5473,0
AFTR-WS.US,D,20211119,000000,0.9399,0.9399,0.897,0.905,6069,0
AFTR-WS.US,D,20211122,000000,0.95,0.95,0.9,0.9339,10112,0
AFTR-WS.US,D,20211123,000000,0.94,0.9901,0.89,0.9648,15129,0
AFTR-WS.US,D,20211124,000000,0.9099,0.9648,0.86,0.86,33117,0
AFTR-WS.US,D,20211126,000000,0.84,0.8402,0.84,0.84,3318,0
AFTR-WS.US,D,20211129,000000,0.802,0.8101,0.8,0.8101,5500,0
AFTR-WS.US,D,20211130,000000,0.84,0.84,0.8302,0.84,1531,0
AFTR-WS.US,D,20211201,000000,0.85,0.85,0.81,0.81,2466,0
AFTR-WS.US,D,20211202,000000,0.81,0.81,0.7701,0.80505,716,0
AFTR-WS.US,D,20211203,000000,0.8068,0.81,0.8,0.8,179725,0
AFTR-WS.US,D,20211207,000000,0.7005,0.8599,0.7005,0.8599,5752,0
AFTR-WS.US,D,20211208,000000,0.85,0.85,0.8,0.8,187221,0
AFTR-WS.US,D,20211209,000000,0.71,0.8399,0.71,0.7799,1727,0
AFTR-WS.US,D,20211210,000000,0.73,0.8408,0.73,0.75,2653,0
AFTR-WS.US,D,20211213,000000,0.75,0.7888,0.73,0.74,112534,0
AFTR-WS.US,D,20211214,000000,0.74,0.76,0.7199,0.72,7730,0
AFTR-WS.US,D,20211215,000000,0.7,0.7598,0.7,0.75,2904,0
AFTR-WS.US,D,20211216,000000,0.7,0.7287,0.7,0.7112,6571,0
AFTR-WS.US,D,20211217,000000,0.7,0.73,0.7,0.73,4942,0
AFTR-WS.US,D,20211220,000000,0.7,0.720184,0.7,0.71,1067,0
AFTR-WS.US,D,20211221,000000,0.75,0.75,0.69,0.6999,3080,0
AFTR-WS.US,D,20211222,000000,0.67,0.689699,0.67,0.6797,2299,0
AFTR-WS.US,D,20211223,000000,0.68,0.7198,0.68,0.6998,3184,0
AFTR-WS.US,D,20211227,000000,0.78,0.78,0.68,0.699901,3610,0
AFTR-WS.US,D,20211228,000000,0.7838,0.7838,0.670101,0.6702,1335,0
AFTR-WS.US,D,20211229,000000,0.6818,0.6818,0.68,0.68,300,0
AFTR-WS.US,D,20211230,000000,0.73,0.73,0.67,0.68495,3979,0
AFTR-WS.US,D,20211231,000000,0.6999,0.6999,0.6996,0.6996,1530,0
AFTR-WS.US,D,20220104,000000,0.7835,0.7835,0.7406,0.7406,599,0
AFTR-WS.US,D,20220105,000000,0.69,0.693911,0.65,0.67,6966,0
AFTR-WS.US,D,20220106,000000,0.67,0.750199,0.67,0.67,1240,0
AFTR-WS.US,D,20220107,000000,0.6074,0.6873,0.6074,0.6873,1625,0
AFTR-WS.US,D,20220110,000000,0.88,0.88,0.8,0.8002,5550,0
AFTR-WS.US,D,20220111,000000,0.85,0.8899,0.85,0.85,4352,0
AFTR-WS.US,D,20220112,000000,0.85,0.85,0.83995,0.8498,1850,0
AFTR-WS.US,D,20220113,000000,0.8399,0.848,0.78,0.78,9420,0
AFTR-WS.US,D,20220114,000000,0.7,0.7001,0.67,0.6798,4410,0
AFTR-WS.US,D,20220118,000000,0.7,0.75,0.658,0.7099,2429,0
AFTR-WS.US,D,20220119,000000,0.6248,0.6899,0.6248,0.67,3161,0
AFTR-WS.US,D,20220120,000000,0.6999,0.7,0.6598,0.6598,1332,0
AFTR-WS.US,D,20220121,000000,0.6331,0.636667,0.58,0.6023,3959,0
