<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRIS.US,D,20211209,000000,9.7,9.75,9.7,9.75,128508,0
TRIS.US,D,20211210,000000,9.75,9.75,9.74,9.74,66545,0
TRIS.US,D,20211213,000000,9.74,9.76,9.72,9.74,20305,0
TRIS.US,D,20211214,000000,9.74,9.74,9.69,9.71,84945,0
TRIS.US,D,20211221,000000,9.73,9.73,9.73,9.73,1583,0
TRIS.US,D,20211223,000000,9.73,9.73,9.73,9.73,361750,0
TRIS.US,D,20211227,000000,9.74,9.74,9.74,9.74,35890,0
TRIS.US,D,20211229,000000,9.86,9.86,9.76,9.76,553,0
TRIS.US,D,20220103,000000,9.72,9.725,9.7,9.7,400756,0
TRIS.US,D,20220104,000000,9.72,9.74,9.72,9.72,94851,0
TRIS.US,D,20220105,000000,9.72,9.73,9.72,9.72,355714,0
TRIS.US,D,20220106,000000,9.74,9.74,9.72,9.72,20213,0
TRIS.US,D,20220107,000000,9.75,9.75,9.75,9.75,100,0
TRIS.US,D,20220110,000000,9.74,9.75,9.74,9.75,60092,0
TRIS.US,D,20220111,000000,9.75,9.75,9.75,9.75,150200,0
TRIS.US,D,20220112,000000,9.73,9.74,9.73,9.74,3402,0
TRIS.US,D,20220113,000000,9.75,9.76,9.75,9.76,2106,0
TRIS.US,D,20220114,000000,9.76,9.76,9.75,9.76,18560,0
TRIS.US,D,20220118,000000,9.74,9.74,9.72,9.72,7413,0
TRIS.US,D,20220119,000000,9.75,9.75,9.73,9.73,57308,0
TRIS.US,D,20220120,000000,9.73,9.73,9.72,9.73,77121,0
TRIS.US,D,20220121,000000,9.73,9.73,9.7,9.73,389119,0
