<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNDA.US,D,20211026,000000,10.7,10.7,9.68,9.76,7229,0
CNDA.US,D,20211027,000000,9.69,9.69,9.69,9.69,115,0
CNDA.US,D,20211028,000000,9.7095,9.8,9.7,9.79,5690,0
CNDA.US,D,20211029,000000,9.85,9.85,9.8,9.8,601,0
CNDA.US,D,20211101,000000,9.8,9.8,9.8,9.8,704,0
CNDA.US,D,20211102,000000,9.83,9.83,9.75,9.75,1102,0
CNDA.US,D,20211103,000000,9.79,9.8,9.7,9.8,1161966,0
CNDA.US,D,20211104,000000,9.78,9.95,9.78,9.82,164877,0
CNDA.US,D,20211105,000000,9.9,9.99,9.8,9.85,201814,0
CNDA.US,D,20211108,000000,9.94,9.94,9.79,9.8,79231,0
CNDA.US,D,20211109,000000,9.85,9.85,9.75,9.8,13079,0
CNDA.US,D,20211110,000000,9.8,9.82,9.76,9.8,246700,0
CNDA.US,D,20211111,000000,9.89,9.98,9.8,9.82,19752,0
CNDA.US,D,20211112,000000,9.83,9.86,9.79,9.86,13538,0
CNDA.US,D,20211115,000000,9.81,9.81,9.75,9.8,22867,0
CNDA.US,D,20211116,000000,9.82,9.8428,9.73,9.8,54541,0
CNDA.US,D,20211117,000000,9.8,9.84,9.8,9.82,289756,0
CNDA.US,D,20211118,000000,9.81,9.84,9.81,9.83,702,0
CNDA.US,D,20211119,000000,9.8,9.83,9.8,9.82,52865,0
CNDA.US,D,20211122,000000,9.8,9.81,9.8,9.81,905,0
CNDA.US,D,20211123,000000,9.82,9.82,9.81,9.81,2438,0
CNDA.US,D,20211124,000000,9.8,9.8,9.8,9.8,2283,0
CNDA.US,D,20211126,000000,9.71,9.8,9.71,9.8,2686,0
CNDA.US,D,20211129,000000,9.89,9.89,9.8,9.82,843,0
CNDA.US,D,20211130,000000,9.83,9.83,9.8,9.82,607,0
CNDA.US,D,20211201,000000,9.85,9.85,9.8,9.8,815,0
CNDA.US,D,20211202,000000,9.89,10.2256,9.84,9.84,377,0
CNDA.US,D,20211203,000000,9.84,9.84,9.8001,9.8001,236,0
CNDA.US,D,20211206,000000,9.8,9.8,9.8,9.8,642,0
CNDA.US,D,20211207,000000,9.8,9.8,9.76,9.76,250624,0
CNDA.US,D,20211208,000000,9.8,9.8,9.8,9.8,1136,0
CNDA.US,D,20211209,000000,9.8,9.8,9.8,9.8,200301,0
CNDA.US,D,20211213,000000,9.78,9.8,9.78,9.8,110156,0
CNDA.US,D,20211215,000000,9.8,9.8,9.8,9.8,223159,0
CNDA.US,D,20211216,000000,9.8,9.81,9.8,9.8,12800,0
CNDA.US,D,20211217,000000,9.8,9.81,9.8,9.8,400,0
CNDA.US,D,20211220,000000,9.81,9.82,9.81,9.82,200,0
CNDA.US,D,20211221,000000,9.8,9.8,9.8,9.8,100,0
CNDA.US,D,20211222,000000,9.79,9.79,9.78,9.78,303,0
CNDA.US,D,20211227,000000,9.75,9.75,9.75,9.75,228,0
CNDA.US,D,20211228,000000,9.75,9.75,9.75,9.75,200,0
CNDA.US,D,20211230,000000,9.75,9.8,9.75,9.75,108597,0
CNDA.US,D,20220103,000000,9.79,9.9,9.75,9.77,1383243,0
CNDA.US,D,20220104,000000,9.75,9.75,9.75,9.75,265,0
CNDA.US,D,20220105,000000,9.77,9.9,9.75,9.76,986448,0
CNDA.US,D,20220106,000000,9.8,9.81,9.75,9.75,1128,0
CNDA.US,D,20220107,000000,9.85,9.85,9.75,9.75,560,0
CNDA.US,D,20220110,000000,9.79,9.79,9.75,9.75,1549,0
CNDA.US,D,20220112,000000,9.75,9.75,9.71,9.71,196574,0
CNDA.US,D,20220113,000000,9.7002,9.7002,9.7002,9.7002,576,0
CNDA.US,D,20220114,000000,9.6601,9.73,9.6601,9.71,542,0
CNDA.US,D,20220118,000000,9.73,9.73,9.66,9.69,633,0
CNDA.US,D,20220119,000000,9.69,9.69,9.69,9.69,307,0
CNDA.US,D,20220120,000000,9.64,9.69,9.64,9.68,5846,0
CNDA.US,D,20220121,000000,9.66,9.67,9.65,9.65,622,0
