<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUNL-WS.US,D,20210713,000000,1.7,1.7,1.48,1.65,175515,0
SUNL-WS.US,D,20210714,000000,1.58,1.65,1.45,1.45,113452,0
SUNL-WS.US,D,20210715,000000,1.45,1.53,1.45,1.45,336192,0
SUNL-WS.US,D,20210716,000000,1.45,1.45,1.36,1.39,71686,0
SUNL-WS.US,D,20210719,000000,1.41,1.41,1.3,1.35,86840,0
SUNL-WS.US,D,20210720,000000,1.3,1.41,1.3,1.35,275847,0
SUNL-WS.US,D,20210721,000000,1.3,1.45,1.3,1.4,25508,0
SUNL-WS.US,D,20210722,000000,1.4,1.53,1.4,1.48,153819,0
SUNL-WS.US,D,20210723,000000,1.5,1.63,1.5,1.57,121842,0
SUNL-WS.US,D,20210726,000000,1.68,1.68,1.58,1.6,213180,0
SUNL-WS.US,D,20210727,000000,1.57,1.62,1.51,1.6,111788,0
SUNL-WS.US,D,20210728,000000,1.6,1.61,1.5701,1.605,51271,0
SUNL-WS.US,D,20210729,000000,1.57,1.61,1.57,1.605,172231,0
SUNL-WS.US,D,20210730,000000,1.595,1.595,1.38,1.545,170101,0
SUNL-WS.US,D,20210802,000000,1.56,1.56,1.445,1.5,64876,0
SUNL-WS.US,D,20210803,000000,1.51,1.51,1.38,1.38,69974,0
SUNL-WS.US,D,20210804,000000,1.4,1.5,1.32,1.35,62170,0
SUNL-WS.US,D,20210805,000000,1.35,1.43,1.33,1.34,100340,0
SUNL-WS.US,D,20210806,000000,1.365,1.365,1.245,1.34,45528,0
SUNL-WS.US,D,20210809,000000,1.35,1.43,1.26,1.3,185822,0
SUNL-WS.US,D,20210810,000000,1.39,1.415,1.29,1.3299,102999,0
SUNL-WS.US,D,20210811,000000,1.3999,1.51,1.32,1.43,100315,0
SUNL-WS.US,D,20210812,000000,1.41,1.42,1.29,1.42,72785,0
SUNL-WS.US,D,20210813,000000,1.4,1.43,1.26,1.4,170428,0
SUNL-WS.US,D,20210816,000000,1.31,1.38,1.22,1.23,58584,0
SUNL-WS.US,D,20210817,000000,1.21,1.21,0.65,0.65,487944,0
SUNL-WS.US,D,20210818,000000,0.77,0.77,0.59,0.651,462995,0
SUNL-WS.US,D,20210819,000000,0.6703,0.6899,0.54,0.5799,319896,0
SUNL-WS.US,D,20210820,000000,0.59,0.6494,0.54505,0.5803,311152,0
SUNL-WS.US,D,20210823,000000,0.66,0.66,0.6,0.6402,78739,0
SUNL-WS.US,D,20210824,000000,0.62,0.7095,0.62,0.6993,220936,0
SUNL-WS.US,D,20210825,000000,0.71,0.719899,0.71,0.71,23851,0
SUNL-WS.US,D,20210826,000000,0.73,0.7331,0.71,0.71,43981,0
SUNL-WS.US,D,20210827,000000,0.71,0.740101,0.6801,0.7,23690,0
SUNL-WS.US,D,20210830,000000,0.68,0.7098,0.64,0.64,55152,0
SUNL-WS.US,D,20210831,000000,0.61,0.6464,0.61,0.625,67390,0
SUNL-WS.US,D,20210901,000000,0.62,0.679799,0.62,0.6698,39720,0
SUNL-WS.US,D,20210902,000000,0.7443,0.8022,0.7001,0.779799,185996,0
SUNL-WS.US,D,20210903,000000,0.75,0.82,0.7201,0.75,116307,0
SUNL-WS.US,D,20210907,000000,0.7,0.8009,0.6973,0.785101,150859,0
SUNL-WS.US,D,20210908,000000,0.72,0.879199,0.72,0.8,144754,0
SUNL-WS.US,D,20210909,000000,0.7704,0.821001,0.7308,0.7799,78719,0
SUNL-WS.US,D,20210910,000000,0.751,0.7801,0.7132,0.74,15129,0
SUNL-WS.US,D,20210913,000000,0.7499,0.7499,0.710366,0.7303,3355,0
SUNL-WS.US,D,20210914,000000,0.766599,0.82,0.75,0.7999,38593,0
SUNL-WS.US,D,20210915,000000,0.8501,0.9099,0.78,0.9001,145231,0
SUNL-WS.US,D,20210916,000000,0.945,1,0.76,0.95,169599,0
SUNL-WS.US,D,20210917,000000,0.9999,1.01,0.9,0.99,141884,0
SUNL-WS.US,D,20210920,000000,0.97,1.11,0.9101,0.99,278872,0
SUNL-WS.US,D,20210921,000000,1.15,1.15,0.99,1.045,110881,0
SUNL-WS.US,D,20210922,000000,1,1.2,1,1.1,72298,0
SUNL-WS.US,D,20210923,000000,1.12,1.16,1.07,1.08,120873,0
SUNL-WS.US,D,20210924,000000,1.08,1.14,1.05,1.07,68613,0
SUNL-WS.US,D,20210927,000000,1.15,1.15,1.02,1.026,12551,0
SUNL-WS.US,D,20210928,000000,1.04,1.04,0.96,0.9699,173987,0
SUNL-WS.US,D,20210929,000000,1.02,1.04,0.95,1.03,178209,0
SUNL-WS.US,D,20210930,000000,1.04,1.12,1,1.0902,49497,0
SUNL-WS.US,D,20211001,000000,1.08,1.2,0.9,0.9924,104781,0
SUNL-WS.US,D,20211004,000000,1,1.0101,0.9,0.9106,11961,0
SUNL-WS.US,D,20211005,000000,0.94005,1.05,0.91,1.02,20635,0
SUNL-WS.US,D,20211006,000000,0.9706,0.9706,0.91,0.9499,29777,0
SUNL-WS.US,D,20211007,000000,0.96,0.9626,0.9201,0.95,10732,0
SUNL-WS.US,D,20211008,000000,0.92,0.96,0.8501,0.9,57430,0
SUNL-WS.US,D,20211011,000000,0.929285,0.9499,0.86,0.879799,29923,0
SUNL-WS.US,D,20211012,000000,0.8401,0.93,0.8401,0.85,15319,0
SUNL-WS.US,D,20211013,000000,0.8898,0.8998,0.8302,0.86,31611,0
SUNL-WS.US,D,20211014,000000,0.9247,0.9399,0.89,0.89,29985,0
SUNL-WS.US,D,20211015,000000,0.95,0.95,0.8302,0.85,16342,0
SUNL-WS.US,D,20211018,000000,0.8701,0.9001,0.810101,0.8316,30560,0
SUNL-WS.US,D,20211019,000000,0.7801,0.879899,0.7801,0.86,16650,0
SUNL-WS.US,D,20211020,000000,0.9464,0.95,0.8805,0.898799,33266,0
SUNL-WS.US,D,20211021,000000,0.95,0.9747,0.91,0.91,27691,0
SUNL-WS.US,D,20211022,000000,0.85,0.9699,0.85,0.94,6100,0
SUNL-WS.US,D,20211025,000000,0.95,1.05,0.91,1.0401,139004,0
SUNL-WS.US,D,20211026,000000,1,1.05,0.9501,0.98,163732,0
SUNL-WS.US,D,20211027,000000,1.04,1.12,1.03,1.04,96808,0
SUNL-WS.US,D,20211028,000000,0.9485,1.19,0.9485,1.17,312915,0
SUNL-WS.US,D,20211029,000000,1.12,1.22,1.12,1.175,130512,0
SUNL-WS.US,D,20211101,000000,1.24,1.3302,1.24,1.265,46405,0
SUNL-WS.US,D,20211102,000000,1.34,1.34,1.18,1.18,24560,0
SUNL-WS.US,D,20211103,000000,1.2,1.2001,1.1204,1.15,13546,0
SUNL-WS.US,D,20211104,000000,1.26,1.26,1.12,1.15,9817,0
SUNL-WS.US,D,20211105,000000,1.17,1.17,1.01,1.05,30389,0
SUNL-WS.US,D,20211108,000000,1.17,1.17,1.07,1.09,9713,0
SUNL-WS.US,D,20211109,000000,1.09,1.21,0.920001,0.99,83220,0
SUNL-WS.US,D,20211110,000000,0.9,1.02,0.9,0.9899,47165,0
SUNL-WS.US,D,20211111,000000,0.9799,1.09,0.9501,0.9502,58060,0
SUNL-WS.US,D,20211112,000000,0.96,1.035,0.9499,1.035,57692,0
SUNL-WS.US,D,20211115,000000,1.09,1.17,1.04,1.14,77561,0
SUNL-WS.US,D,20211116,000000,1.05,1.11,0.945,1.05,99473,0
SUNL-WS.US,D,20211117,000000,1.24,1.24,0.9801,1.01,36229,0
SUNL-WS.US,D,20211118,000000,1.03,1.06,0.9001,0.93,102357,0
SUNL-WS.US,D,20211119,000000,1.04,1.04,0.9206,1,51262,0
SUNL-WS.US,D,20211122,000000,1.04,1.04,0.88,0.88,43162,0
SUNL-WS.US,D,20211123,000000,0.94,0.94,0.7708,0.85,109777,0
SUNL-WS.US,D,20211124,000000,0.7401,0.8627,0.7401,0.836501,41709,0
SUNL-WS.US,D,20211126,000000,0.8,0.8,0.7191,0.7301,40033,0
SUNL-WS.US,D,20211129,000000,0.73,0.7799,0.6942,0.75,51033,0
SUNL-WS.US,D,20211130,000000,0.765,0.765,0.6601,0.6802,26559,0
SUNL-WS.US,D,20211201,000000,0.75,0.75,0.6101,0.62,53827,0
SUNL-WS.US,D,20211202,000000,0.648,0.6799,0.61,0.6799,38495,0
SUNL-WS.US,D,20211203,000000,0.65,0.650498,0.62,0.6397,54558,0
SUNL-WS.US,D,20211206,000000,0.62,0.7,0.615,0.66495,25063,0
SUNL-WS.US,D,20211207,000000,0.6621,0.7,0.648681,0.6794,169532,0
SUNL-WS.US,D,20211208,000000,0.67,0.7,0.64,0.64,608154,0
SUNL-WS.US,D,20211209,000000,0.7,0.7,0.6,0.605,47211,0
SUNL-WS.US,D,20211210,000000,0.62,0.62,0.4907,0.5798,77505,0
SUNL-WS.US,D,20211213,000000,0.59,0.61,0.5,0.5002,55815,0
SUNL-WS.US,D,20211214,000000,0.5002,0.539,0.46,0.48,101504,0
SUNL-WS.US,D,20211215,000000,0.58,0.58,0.4602,0.5114,10948,0
SUNL-WS.US,D,20211216,000000,0.52,0.531251,0.5102,0.52,17010,0
SUNL-WS.US,D,20211217,000000,0.4901,0.4903,0.4,0.4701,40081,0
SUNL-WS.US,D,20211220,000000,0.4301,0.4511,0.3911,0.4401,73371,0
SUNL-WS.US,D,20211221,000000,0.44,0.44,0.4,0.41999,353925,0
SUNL-WS.US,D,20211222,000000,0.45,0.46,0.3701,0.3851,131342,0
SUNL-WS.US,D,20211223,000000,0.4313,0.68,0.4313,0.599599,262381,0
SUNL-WS.US,D,20211227,000000,0.5996,0.64,0.511,0.55,147279,0
SUNL-WS.US,D,20211228,000000,0.6499,0.65,0.49,0.55,145509,0
SUNL-WS.US,D,20211229,000000,0.6159,0.6159,0.5503,0.56,50700,0
SUNL-WS.US,D,20211230,000000,0.56,0.5799,0.4929,0.5699,306166,0
SUNL-WS.US,D,20211231,000000,0.6,0.69,0.57,0.66,273356,0
SUNL-WS.US,D,20220103,000000,0.62,0.72,0.62,0.651901,30039,0
SUNL-WS.US,D,20220104,000000,0.6999,0.6999,0.6017,0.6199,43032,0
SUNL-WS.US,D,20220105,000000,0.5799,0.6398,0.5499,0.55,5883,0
SUNL-WS.US,D,20220106,000000,0.5437,0.56,0.5349,0.55,13369,0
SUNL-WS.US,D,20220107,000000,0.540001,0.540001,0.54,0.54,1160,0
SUNL-WS.US,D,20220110,000000,0.55,0.55,0.5101,0.529799,12366,0
SUNL-WS.US,D,20220111,000000,0.5199,0.5234,0.5159,0.5233,60597,0
SUNL-WS.US,D,20220112,000000,0.5099,0.51,0.5,0.51,7491,0
SUNL-WS.US,D,20220113,000000,0.5,0.5133,0.4901,0.495,11051,0
SUNL-WS.US,D,20220114,000000,0.53,0.53,0.4517,0.459899,11237,0
SUNL-WS.US,D,20220118,000000,0.46,0.4799,0.425101,0.45995,14038,0
SUNL-WS.US,D,20220119,000000,0.4601,0.48,0.42,0.4533,346098,0
SUNL-WS.US,D,20220120,000000,0.48,0.5101,0.4301,0.4625,15723,0
SUNL-WS.US,D,20220121,000000,0.4949,0.4949,0.4,0.4,47660,0
